"Id";"classNumber";"subjectName";"topicName";"typeName";"question";"Option 1";"Option 2";"Option 3";"Option 4";"Option 5";"Option 6"
"6";"IX";"SocialStudies";"FrRev";"VSTA";"Between which three continents triangular slave trade was held?";;;;;;
"7";"IX";"SocialStudies";"FrRev";"STA";"Describe the French division of society.";;;;;;
"8";"IX";"SocialStudies";"FrRev";"VSTA";"Describe the incident which sparked the Revolution.";;;;;;
"9";"IX";"SocialStudies";"FrRev";"LAT";"Describe the main features of the constitution of 1791 drafted by National Assembly.";;;;;;
"10";"IX";"SocialStudies";"FrRev";"VSTA";"Describe the main ideas contained in the Declaration of Rights of Man and Citizen.";;;;;;
"11";"IX";"SocialStudies";"FrRev";"STA";"Differentiate between Active and Passive Citizens.";;;;;;
"12";"IX";"SocialStudies";"FrRev";"STA";"Elucidate the contribution of Mirabeau in the formation of the National Assembly?";;;;;;
"13";"IX";"SocialStudies";"FrRev";"VSTA";"For modernizing France which two laws were enforced by Napoleon Bonaparte?";;;;;;
"14";"IX";"SocialStudies";"FrRev";"LAT";"How can you say that Louis XVI was a despotic ruler?";;;;;;
"15";"IX";"SocialStudies";"FrRev";"VSTA";"How did American war of Independence add more debt to France?";;;;;;
"16";"IX";"SocialStudies";"FrRev";"STA";"How did peasants protest against the feudal lords or nobles of France?";;;;;;
"17";"IX";"SocialStudies";"FrRev";"LAT";"How did the fall of Bastille prison become the immediate cause of French Revolution?";;;;;;
"18";"IX";"SocialStudies";"FrRev";"STA";"How did the French people ultimately get the right to vote to all citizens?";;;;;;
"19";"IX";"SocialStudies";"FrRev";"STA";"How did women suffer in France?";;;;;;
"20";"IX";"SocialStudies";"FrRev";"VSTA";"How was division of power suggested by philosopher Montesquieu?";;;;;;
"21";"IX";"SocialStudies";"FrRev";"LAT";"How was National Assembly recognised?";;;;;;
"22";"IX";"SocialStudies";"FrRev";"LAT";"How was slave trade started? When and how was it abolished? OR Prepare a short note on 'Slave Trade'.";;;;;;
"23";"IX";"SocialStudies";"FrRev";"VSTA";"How was the meeting of Estates General called by Louis XVI attended by three Estates?";;;;;;
"24";"IX";"SocialStudies";"FrRev";"STA";"How was the National Assembly recognised and how did it start exercising its powers?";;;;;;
"25";"IX";"SocialStudies";"FrRev";"VSTA";"How would you explain the rise of Napoleon?";;;;;;
"26";"IX";"SocialStudies";"FrRev";"VSTA";"In which famous battle was Napoleon finally defeated? Where was he imprisoned?";;;;;;
"27";"IX";"SocialStudies";"FrRev";"VSTA";"In which famous war was Napoleon Bonaparte defeated?";;;;;;
"28";"IX";"SocialStudies";"FrRev";"VSTA";"Mention one activity of the French monarchy which hastened the Revolution.";;;;;;
"29";"IX";"SocialStudies";"FrRev";"VSTA";"Name the famous work by Rousseau which lays down the main principles of democracy.";;;;;;
"30";"IX";"SocialStudies";"FrRev";"VSTA";"Name the French ports through which slave trade was done.";;;;;;
"31";"IX";"SocialStudies";"FrRev";"VSTA";"Name the important political clubs formed by women in France to fight their political rights.";;;;;;
"32";"IX";"SocialStudies";"FrRev";"VSTA";"Name the three main social classes in 18th Century France.";;;;;;
"33";"IX";"SocialStudies";"FrRev";"VSTA";"State anyone law passed by Napoleon.";;;;;;
"34";"IX";"SocialStudies";"FrRev";"VSTA";"What decisive factor led to the fall of Napoleon?";;;;;;
"35";"IX";"SocialStudies";"FrRev";"VSTA";"What do you know about Abbe Sieyes.";;;;;;
"36";"IX";"SocialStudies";"FrRev";"STA";"What do you know about the ?Estates General??";;;;;;
"37";"IX";"SocialStudies";"FrRev";"STA";"What do you know about the political clubs formed in France?";;;;;;
"38";"IX";"SocialStudies";"FrRev";"VSTA";"What do you understand by the word ?Revolution??";;;;;;
"39";"IX";"SocialStudies";"FrRev";"VSTA";"What does 'Chateau' mean?";;;;;;
"40";"IX";"SocialStudies";"FrRev";"VSTA";"What does 'subsistence crisis' mean?";;;;;;
"41";"IX";"SocialStudies";"FrRev";"LAT";"What does subsistence crisis mean? What led to subsistence crisis in France?";;;;;;
"42";"IX";"SocialStudies";"FrRev";"VSTA";"What is a guillotine?";;;;;;
"43";"IX";"SocialStudies";"FrRev";"LAT";"What is the role of middle classes in ending the privileges?";;;;;;
"44";"IX";"SocialStudies";"FrRev";"STA";"What is the role of philosophers in the French Revolution?";;;;;;
"45";"IX";"SocialStudies";"FrRev";"VSTA";"What led to the triangular slave trade?";;;;;;
"46";"IX";"SocialStudies";"FrRev";"VSTA";"What privileges did members of the first two estates enjoy?";;;;;;
"47";"IX";"SocialStudies";"FrRev";"STA";"What rights were provided by the French Constitution?";;;;;;
"48";"IX";"SocialStudies";"FrRev";"VSTA";"What role did the French philosophers play in the outbreak of the French Revolution?";;;;;;
"49";"IX";"SocialStudies";"FrRev";"STA";"What was a 'Directory'? Why was it removed from France?";;;;;;
"50";"IX";"SocialStudies";"FrRev";"VSTA";"What was a 'Manor'?";;;;;;
"51";"IX";"SocialStudies";"FrRev";"VSTA";"What was 'Directory'?";;;;;;
"52";"IX";"SocialStudies";"FrRev";"STA";"What was Guillotine? How was it used?";;;;;;
"53";"IX";"SocialStudies";"FrRev";"VSTA";"What was Guillotine?";;;;;;
"54";"IX";"SocialStudies";"FrRev";"VSTA";"What was 'Marseillaise'?";;;;;;
"55";"IX";"SocialStudies";"FrRev";"LAT";"What was Marseillaise? What led to the formation of Marseillaise?";;;;;;
"56";"IX";"SocialStudies";"FrRev";"VSTA";"What was taille?";;;;;;
"57";"IX";"SocialStudies";"FrRev";"VSTA";"What was the Estates General?";;;;;;
"58";"IX";"SocialStudies";"FrRev";"VSTA";"What was the immediate cause of French Revolution?";;;;;;
"59";"IX";"SocialStudies";"FrRev";"STA";"What was the immediate cause of the French Revolution?";;;;;;
"60";"IX";"SocialStudies";"FrRev";"VSTA";"What was the main aim of the National Assembly?";;;;;;
"61";"IX";"SocialStudies";"FrRev";"VSTA";"What was the meaning of the following symbol - The broken chain?";;;;;;
"62";"IX";"SocialStudies";"FrRev";"VSTA";"What was the most important legacy of the French Revolution?";;;;;;
"63";"IX";"SocialStudies";"FrRev";"VSTA";"What was the National Anthem of France?";;;;;;
"64";"IX";"SocialStudies";"FrRev";"VSTA";"What was tithe?";;;;;;
"65";"IX";"SocialStudies";"FrRev";"VSTA";"What were political clubs?";;;;;;
"66";"IX";"SocialStudies";"FrRev";"LAT";"What were the main causes of the French Revolution?";;;;;;
"67";"IX";"SocialStudies";"FrRev";"VSTA";"What were the views of John Locke in inspiring the people for French Revolution?";;;;;;
"68";"IX";"SocialStudies";"FrRev";"VSTA";"What work did women of the third estate do?";;;;;;
"69";"IX";"SocialStudies";"FrRev";"VSTA";"When did women finally get the right to vote in France?";;;;;;
"70";"IX";"SocialStudies";"FrRev";"STA";"When had France become a Republic?";;;;;;
"71";"IX";"SocialStudies";"FrRev";"VSTA";"When Napoleon Bonaparte did became Emperor of France?";;;;;;
"72";"IX";"SocialStudies";"FrRev";"VSTA";"When the draft of the National Assembly?s constitution completed and what was its main objective?";;;;;;
"73";"IX";"SocialStudies";"FrRev";"VSTA";"When was National Assembly recognised?";;;;;;
"74";"IX";"SocialStudies";"FrRev";"VSTA";"When was slavery finally abolished in France?";;;;;;
"75";"IX";"SocialStudies";"FrRev";"VSTA";"When was the Bastille Prison stormed?";;;;;;
"76";"IX";"SocialStudies";"FrRev";"LAT";"Which incident had led to the outbreak of the revolution in France?";;;;;;
"77";"IX";"SocialStudies";"FrRev";"STA";"Which laws were made to improve the status of women in the French society?";;;;;;
"78";"IX";"SocialStudies";"FrRev";"VSTA";"Which new Assembly was formed by Jacobins?";;;;;;
"79";"IX";"SocialStudies";"FrRev";"VSTA";"Which proposal of the third estate was rejected by Estates General?";;;;;;
"80";"IX";"SocialStudies";"FrRev";"VSTA";"Which ruler came to power in France in 1774?";;;;;;
"81";"IX";"SocialStudies";"FrRev";"VSTA";"Which social groups emerged as 'middle class' in 18th century France?";;;;;;
"82";"IX";"SocialStudies";"FrRev";"VSTA";"Which was the popular France? Club of France? Who was its leader?";;;;;;
"83";"IX";"SocialStudies";"FrRev";"VSTA";"Who all got the right to vote for National Assembly?";;;;;;
"84";"IX";"SocialStudies";"FrRev";"VSTA";"Who composed the French National Anthem?";;;;;;
"85";"IX";"SocialStudies";"FrRev";"VSTA";"Who could qualify as an Elector?";;;;;;
"86";"IX";"SocialStudies";"FrRev";"VSTA";"Who formed the First and Second Estates of French Society?";;;;;;
"87";"IX";"SocialStudies";"FrRev";"LAT";"Who formed the Jacobin Club? What measures had he taken to remove discrimination in the French society and form a French Republic?";;;;;;
"88";"IX";"SocialStudies";"FrRev";"VSTA";"Who introduced 'Reign of terror' in France?";;;;;;
"89";"IX";"SocialStudies";"FrRev";"VSTA";"Who invented the guillotine?";;;;;;
"90";"IX";"SocialStudies";"FrRev";"LAT";"Who represented the National Assembly on 5th May 1789?";;;;;;
"91";"IX";"SocialStudies";"FrRev";"VSTA";"Who was Mirabeau?";;;;;;
"92";"IX";"SocialStudies";"FrRev";"LAT";"Who was Napoleon Bonaparte? Why was he called a liberator?";;;;;;
"93";"IX";"SocialStudies";"FrRev";"VSTA";"Who was Rousseau?";;;;;;
"94";"IX";"SocialStudies";"FrRev";"VSTA";"How Robespierre's end came?";;;;;;
"95";"IX";"SocialStudies";"FrRev";"VSTA";"Who was the leader of Jacobin club?";;;;;;
"96";"IX";"SocialStudies";"FrRev";"VSTA";"Who were electors?";;;;;;
"97";"IX";"SocialStudies";"FrRev";"VSTA";"Who were 'Sans-Culottes'?";;;;;;
"98";"IX";"SocialStudies";"FrRev";"VSTA";"Who were the Sans-Culottes?";;;;;;
"99";"IX";"SocialStudies";"FrRev";"VSTA";"Whom did Louis XVI get married to?";;;;;;
"100";"IX";"SocialStudies";"FrRev";"VSTA";"Why did the French government increase the taxes?";;;;;;
"101";"IX";"SocialStudies";"FrRev";"VSTA";"Why was Bastille Prison attacked?";;;;;;
"102";"IX";"SocialStudies";"FrRev";"VSTA";"Why was treasury empty when Louis XVI ascended the throne?";;;;;;
"103";"IX";"SocialStudies";"FrRev";"STA";"Describe any four causes of the French Revolution. Or Describe the circumstances leading to the outbreak of revolutionary in France.";;;;;;
"104";"IX";"SocialStudies";"FrRev";"STA";"What role did the philosophers play in bringing about the French Revolution?";;;;;;
"105";"IX";"SocialStudies";"FrRev";"STA";"Why is the Declaration of the Rights of t-Ian and Citizen regarded as a revolutionary document?";;;;;;
"106";"IX";"SocialStudies";"FrRev";"STA";"What role did Louis XVI play in bringing about the revolution?";;;;;;
"107";"IX";"SocialStudies";"FrRev";"STA";"Give an estimate of Napoleon Bonaparte as the First Consul.";;;;;;
"108";"IX";"SocialStudies";"FrRev";"STA";"What was the impact of the French Revolution on the world? Or Describe the legacy of the French Revolution for the peoples of the world during the 19th and 20th centuries.";;;;;;
"109";"IX";"SocialStudies";"FrRev";"STA";"Which groups of French society benefited from the revolution? Which groups were forced to relinquish power? Which sections of society would have been disappointed with the outcome of the revolution?";;;;;;
"110";"IX";"SocialStudies";"FrRev";"STA";"Draw up a list of democratic rights we enjoy today whose origins could be traced to the French Revolution.";;;;;;
"111";"IX";"SocialStudies";"FrRev";"STA";"How was French society organized? What privileges did certain sections of society enjoy? Or What was the system of estates in French Society during the late eighteenth century?";;;;;;
"112";"IX";"SocialStudies";"FrRev";"STA";"What measures were taken by Robespierre's government?";;;;;;
"113";"IX";"SocialStudies";"FrRev";"STA";"What role did women play during the revolutionary years?";;;;;;
"114";"IX";"SocialStudies";"FrRev";"STA";"What laws were passed by the revolutionary government for the benefit of women?";;;;;;
"115";"IX";"SocialStudies";"FrRev";"STA";"How did the revolutionary governments translate the ideals of liberty and equality into everyday practice?";;;;;;
"116";"IX";"SocialStudies";"FrRev";"STA";"Why the period from 1793 to 1794 in France is referred to as the Reign of Terror?";;;;;;
"117";"IX";"SocialStudies";"FrRev";"LAT";"How did the teachings of Rousseau lay the foundations of democracy?";;;;;;
"118";"IX";"SocialStudies";"FrRev";"LAT";"List the accomplishments of the National Assembly of France from 1789 to 1791. J. What was the impact of the French Revolution on France?";;;;;;
"119";"IX";"SocialStudies";"FrRev";"LAT";"What was the impact of the French Revolution on France?";;;;;;
"120";"IX";"SocialStudies";"FrRev";"LAT";"Write short notes on: (a) French slave trade (b) Reign of Terror (c) Fall of Napoleon.";;;;;;
"121";"IX";"SocialStudies";"FrRev";"LAT";"Write down the causes of French revolution and the principles on which it is based. Or Explain various that led to the outbreak of French revolution.";;;;;;
"122";"IX";"SocialStudies";"FrRev";"LAT";"Explain the role of Napolean Bonaparte as an Emperor of France in 1804 and also explain important contribution of the French revolution to the world.";;;;;;
"123";"IX";"SocialStudies";"FrRev";"LAT";"Explain the impact of French Revolution on France in everyday life of the people.";;;;;;
"124";"IX";"SocialStudies";"FrRev";"LAT";"Explain the conditions of France before the French Revolution with special reference to women's status in the society.";;;;;;
"164";"IX";"SocialStudies";"PeopleasResource";"VSTA";"How does population become human capital? ";;;;;;
"165";"IX";"SocialStudies";"PeopleasResource";"VSTA";"What is the positive aspect of productive population? ";;;;;;
"166";"IX";"SocialStudies";"PeopleasResource";"VSTA";"Why is human resource superior to other resources like land and physical capital? ";;;;;;
"167";"IX";"SocialStudies";"PeopleasResource";"VSTA";"What is the role of education in the formation of human capital? ";;;;;;
"168";"IX";"SocialStudies";"PeopleasResource";"VSTA";"Define economic activity and give two examples.";;;;;;
"169";"IX";"SocialStudies";"PeopleasResource";"VSTA";"Define non-economic activity and give two examples.";;;;;;
"170";"IX";"SocialStudies";"PeopleasResource";"VSTA";"What does 'Sarva Siksha Abhiyan' aim at?";;;;;;
"171";"IX";"SocialStudies";"PeopleasResource";"VSTA";"Define unemployment.";;;;;;
"172";"IX";"SocialStudies";"PeopleasResource";"VSTA";"Which two types of unemployment are common in rural areas?";;;;;;
"173";"IX";"SocialStudies";"PeopleasResource";"VSTA";"In which sector should India increase maximum employment opportunities?";;;;;;
"174";"IX";"SocialStudies";"PeopleasResource";"VSTA";"How does investment in human resource lead to higher returns in future?";;;;;;
